expname,training_length,enrollment_length,seed,classification_3s,classification_10s,classification_30s,accuracy_3s,accuracy_10s,accuracy_30s,c_primary_3s,c_primary_10s,c_primary_30s
lre_tr_500_en_500,500,500,1,/home/paul/gp-data/lre_tr_500_en_500/exp/results/classification_3s,/home/paul/gp-data/lre_tr_500_en_500/exp/results/classification_10s,/home/paul/gp-data/lre_tr_500_en_500/exp/results/classification_30s,0.423,0.544,0.583,0.757,0.612,0.589
lre_tr_500_en_1000,500,1000,1,/home/paul/gp-data/lre_tr_500_en_1000/exp/results/classification_3s,/home/paul/gp-data/lre_tr_500_en_1000/exp/results/classification_10s,/home/paul/gp-data/lre_tr_500_en_1000/exp/results/classification_30s,0.442,0.572,0.616,0.737,0.586,0.562
lre_tr_500_en_5000,500,5000,1,/home/paul/gp-data/lre_tr_500_en_5000/exp/results/classification_3s,/home/paul/gp-data/lre_tr_500_en_5000/exp/results/classification_10s,/home/paul/gp-data/lre_tr_500_en_5000/exp/results/classification_30s,0.455,0.595,0.641,0.719,0.553,0.522
lre_tr_500_en_10000,500,10000,1,/home/paul/gp-data/lre_tr_500_en_10000/exp/results/classification_3s,/home/paul/gp-data/lre_tr_500_en_10000/exp/results/classification_10s,/home/paul/gp-data/lre_tr_500_en_10000/exp/results/classification_30s,0.457,0.586,0.626,0.724,0.569,0.546
lre_tr_1000_en_500,1000,500,1,/home/paul/gp-data/lre_tr_1000_en_500/exp/results/classification_3s,/home/paul/gp-data/lre_tr_1000_en_500/exp/results/classification_10s,/home/paul/gp-data/lre_tr_1000_en_500/exp/results/classification_30s,0.493,0.634,0.676,0.666,0.5,0.472
lre_tr_1000_en_1000,1000,1000,1,/home/paul/gp-data/lre_tr_1000_en_1000/exp/results/classification_3s,/home/paul/gp-data/lre_tr_1000_en_1000/exp/results/classification_10s,/home/paul/gp-data/lre_tr_1000_en_1000/exp/results/classification_30s,0.5,0.638,0.679,0.66,0.493,0.463
lre_tr_1000_en_5000,1000,5000,1,/home/paul/gp-data/lre_tr_1000_en_5000/exp/results/classification_3s,/home/paul/gp-data/lre_tr_1000_en_5000/exp/results/classification_10s,/home/paul/gp-data/lre_tr_1000_en_5000/exp/results/classification_30s,0.525,0.66,0.702,0.629,0.466,0.432
lre_tr_1000_en_10000,1000,10000,1,/home/paul/gp-data/lre_tr_1000_en_10000/exp/results/classification_3s,/home/paul/gp-data/lre_tr_1000_en_10000/exp/results/classification_10s,/home/paul/gp-data/lre_tr_1000_en_10000/exp/results/classification_30s,0.529,0.668,0.707,0.627,0.457,0.429
lre_tr_5000_en_500,5000,500,1,/home/paul/gp-data/lre_tr_5000_en_500/exp/results/classification_3s,/home/paul/gp-data/lre_tr_5000_en_500/exp/results/classification_10s,/home/paul/gp-data/lre_tr_5000_en_500/exp/results/classification_30s,0.642,0.767,0.791,0.476,0.317,0.303
lre_tr_5000_en_1000,5000,1000,1,/home/paul/gp-data/lre_tr_5000_en_1000/exp/results/classification_3s,/home/paul/gp-data/lre_tr_5000_en_1000/exp/results/classification_10s,/home/paul/gp-data/lre_tr_5000_en_1000/exp/results/classification_30s,0.659,0.784,0.811,0.455,0.297,0.28
lre_tr_5000_en_5000,5000,5000,1,/home/paul/gp-data/lre_tr_5000_en_5000/exp/results/classification_3s,/home/paul/gp-data/lre_tr_5000_en_5000/exp/results/classification_10s,/home/paul/gp-data/lre_tr_5000_en_5000/exp/results/classification_30s,0.657,0.784,0.811,0.454,0.292,0.275
lre_tr_5000_en_10000,5000,10000,1,/home/paul/gp-data/lre_tr_5000_en_10000/exp/results/classification_3s,/home/paul/gp-data/lre_tr_5000_en_10000/exp/results/classification_10s,/home/paul/gp-data/lre_tr_5000_en_10000/exp/results/classification_30s,0.66,0.783,0.812,0.451,0.294,0.276
lre_tr_10000_en_500,10000,500,1,/home/paul/gp-data/lre_tr_10000_en_500/exp/results/classification_3s,/home/paul/gp-data/lre_tr_10000_en_500/exp/results/classification_10s,/home/paul/gp-data/lre_tr_10000_en_500/exp/results/classification_30s,0.688,0.808,0.837,0.416,0.265,0.243
lre_tr_10000_en_1000,10000,1000,1,/home/paul/gp-data/lre_tr_10000_en_1000/exp/results/classification_3s,/home/paul/gp-data/lre_tr_10000_en_1000/exp/results/classification_10s,/home/paul/gp-data/lre_tr_10000_en_1000/exp/results/classification_30s,0.693,0.811,0.838,0.408,0.258,0.237
lre_tr_10000_en_5000,10000,5000,1,/home/paul/gp-data/lre_tr_10000_en_5000/exp/results/classification_3s,/home/paul/gp-data/lre_tr_10000_en_5000/exp/results/classification_10s,/home/paul/gp-data/lre_tr_10000_en_5000/exp/results/classification_30s,0.705,0.826,0.851,0.392,0.239,0.217
lre_tr_10000_en_10000,10000,10000,1,/home/paul/gp-data/lre_tr_10000_en_10000/exp/results/classification_3s,/home/paul/gp-data/lre_tr_10000_en_10000/exp/results/classification_10s,/home/paul/gp-data/lre_tr_10000_en_10000/exp/results/classification_30s,0.704,0.824,0.85,0.392,0.241,0.219
lre_baseline,all,all,1,/home/paul/gp-data/lre_baseline/exp/results/classification_3s,/home/paul/gp-data/lre_baseline/exp/results/classification_10s,/home/paul/gp-data/lre_baseline/exp/results/classification_30s,0.741,0.852,0.873,0.344,0.204,0.189
lre_tr_500_en_500_2,500,500,2,/home/paul/gp-data/lre_tr_500_en_500_2/exp/results/classification_3s,/home/paul/gp-data/lre_tr_500_en_500_2/exp/results/classification_10s,/home/paul/gp-data/lre_tr_500_en_500_2/exp/results/classification_30s,0.426,0.547,0.589,0.753,0.609,0.583
lre_tr_500_en_1000_2,500,1000,2,/home/paul/gp-data/lre_tr_500_en_1000_2/exp/results/classification_3s,/home/paul/gp-data/lre_tr_500_en_1000_2/exp/results/classification_10s,/home/paul/gp-data/lre_tr_500_en_1000_2/exp/results/classification_30s,0.434,0.565,0.611,0.742,0.585,0.552
lre_tr_500_en_5000_2,500,5000,2,/home/paul/gp-data/lre_tr_500_en_5000_2/exp/results/classification_3s,/home/paul/gp-data/lre_tr_500_en_5000_2/exp/results/classification_10s,/home/paul/gp-data/lre_tr_500_en_5000_2/exp/results/classification_30s,0.452,0.583,0.628,0.724,0.565,0.534
lre_tr_500_en_10000_2,500,10000,2,/home/paul/gp-data/lre_tr_500_en_10000_2/exp/results/classification_3s,/home/paul/gp-data/lre_tr_500_en_10000_2/exp/results/classification_10s,/home/paul/gp-data/lre_tr_500_en_10000_2/exp/results/classification_30s,0.441,0.568,0.613,0.738,0.586,0.56
lre_tr_1000_en_500_2,1000,500,2,/home/paul/gp-data/lre_tr_1000_en_500_2/exp/results/classification_3s,/home/paul/gp-data/lre_tr_1000_en_500_2/exp/results/classification_10s,/home/paul/gp-data/lre_tr_1000_en_500_2/exp/results/classification_30s,0.493,0.627,0.661,0.661,0.498,0.479
lre_tr_1000_en_1000_2,1000,1000,2,/home/paul/gp-data/lre_tr_1000_en_1000_2/exp/results/classification_3s,/home/paul/gp-data/lre_tr_1000_en_1000_2/exp/results/classification_10s,/home/paul/gp-data/lre_tr_1000_en_1000_2/exp/results/classification_30s,0.513,0.653,0.688,0.643,0.474,0.453
lre_tr_1000_en_5000_2,1000,5000,2,/home/paul/gp-data/lre_tr_1000_en_5000_2/exp/results/classification_3s,/home/paul/gp-data/lre_tr_1000_en_5000_2/exp/results/classification_10s,/home/paul/gp-data/lre_tr_1000_en_5000_2/exp/results/classification_30s,0.526,0.665,0.702,0.623,0.451,0.426
lre_tr_1000_en_10000_2,1000,10000,2,/home/paul/gp-data/lre_tr_1000_en_10000_2/exp/results/classification_3s,/home/paul/gp-data/lre_tr_1000_en_10000_2/exp/results/classification_10s,/home/paul/gp-data/lre_tr_1000_en_10000_2/exp/results/classification_30s,0.528,0.663,0.699,0.622,0.458,0.437
lre_tr_5000_en_500_2,5000,500,2,/home/paul/gp-data/lre_tr_5000_en_500_2/exp/results/classification_3s,/home/paul/gp-data/lre_tr_5000_en_500_2/exp/results/classification_10s,/home/paul/gp-data/lre_tr_5000_en_500_2/exp/results/classification_30s,0.663,0.787,0.815,0.449,0.294,0.275
lre_tr_5000_en_1000_2,5000,1000,2,/home/paul/gp-data/lre_tr_5000_en_1000_2/exp/results/classification_3s,/home/paul/gp-data/lre_tr_5000_en_1000_2/exp/results/classification_10s,/home/paul/gp-data/lre_tr_5000_en_1000_2/exp/results/classification_30s,0.663,0.788,0.818,0.449,0.289,0.267
lre_tr_5000_en_5000_2,5000,5000,2,/home/paul/gp-data/lre_tr_5000_en_5000_2/exp/results/classification_3s,/home/paul/gp-data/lre_tr_5000_en_5000_2/exp/results/classification_10s,/home/paul/gp-data/lre_tr_5000_en_5000_2/exp/results/classification_30s,0.673,0.795,0.822,0.436,0.282,0.265
lre_tr_5000_en_10000_2,5000,10000,2,/home/paul/gp-data/lre_tr_5000_en_10000_2/exp/results/classification_3s,/home/paul/gp-data/lre_tr_5000_en_10000_2/exp/results/classification_10s,/home/paul/gp-data/lre_tr_5000_en_10000_2/exp/results/classification_30s,0.67,0.792,0.819,0.439,0.288,0.27
lre_tr_10000_en_500_2,10000,500,2,/home/paul/gp-data/lre_tr_10000_en_500_2/exp/results/classification_3s,/home/paul/gp-data/lre_tr_10000_en_500_2/exp/results/classification_10s,/home/paul/gp-data/lre_tr_10000_en_500_2/exp/results/classification_30s,0.686,0.812,0.838,0.417,0.26,0.241
lre_tr_10000_en_1000_2,10000,1000,2,/home/paul/gp-data/lre_tr_10000_en_1000_2/exp/results/classification_3s,/home/paul/gp-data/lre_tr_10000_en_1000_2/exp/results/classification_10s,/home/paul/gp-data/lre_tr_10000_en_1000_2/exp/results/classification_30s,0.692,0.816,0.841,0.406,0.252,0.234
lre_tr_10000_en_5000_2,10000,5000,2,/home/paul/gp-data/lre_tr_10000_en_5000_2/exp/results/classification_3s,/home/paul/gp-data/lre_tr_10000_en_5000_2/exp/results/classification_10s,/home/paul/gp-data/lre_tr_10000_en_5000_2/exp/results/classification_30s,0.705,0.825,0.85,0.392,0.238,0.219
lre_tr_10000_en_10000_2,10000,10000,2,/home/paul/gp-data/lre_tr_10000_en_10000_2/exp/results/classification_3s,/home/paul/gp-data/lre_tr_10000_en_10000_2/exp/results/classification_10s,/home/paul/gp-data/lre_tr_10000_en_10000_2/exp/results/classification_30s,0.704,0.823,0.849,0.392,0.24,0.22
lre_baseline_2,all,all,2,/home/paul/gp-data/lre_baseline_2/exp/results/classification_3s,/home/paul/gp-data/lre_baseline_2/exp/results/classification_10s,/home/paul/gp-data/lre_baseline_2/exp/results/classification_30s,0.741,0.852,0.873,0.344,0.204,0.189
lre_tr_500_en_500_3,500,500,3,/home/paul/gp-data/lre_tr_500_en_500_3/exp/results/classification_3s,/home/paul/gp-data/lre_tr_500_en_500_3/exp/results/classification_10s,/home/paul/gp-data/lre_tr_500_en_500_3/exp/results/classification_30s,0.429,0.552,0.589,0.754,0.606,0.58
lre_tr_500_en_1000_3,500,1000,3,/home/paul/gp-data/lre_tr_500_en_1000_3/exp/results/classification_3s,/home/paul/gp-data/lre_tr_500_en_1000_3/exp/results/classification_10s,/home/paul/gp-data/lre_tr_500_en_1000_3/exp/results/classification_30s,0.443,0.57,0.611,0.739,0.588,0.56
lre_tr_500_en_5000_3,500,5000,3,/home/paul/gp-data/lre_tr_500_en_5000_3/exp/results/classification_3s,/home/paul/gp-data/lre_tr_500_en_5000_3/exp/results/classification_10s,/home/paul/gp-data/lre_tr_500_en_5000_3/exp/results/classification_30s,0.454,0.581,0.623,0.723,0.57,0.542
lre_tr_500_en_10000_3,500,10000,3,/home/paul/gp-data/lre_tr_500_en_10000_3/exp/results/classification_3s,/home/paul/gp-data/lre_tr_500_en_10000_3/exp/results/classification_10s,/home/paul/gp-data/lre_tr_500_en_10000_3/exp/results/classification_30s,0.447,0.578,0.619,0.738,0.583,0.559
lre_tr_1000_en_500_3,1000,500,3,/home/paul/gp-data/lre_tr_1000_en_500_3/exp/results/classification_3s,/home/paul/gp-data/lre_tr_1000_en_500_3/exp/results/classification_10s,/home/paul/gp-data/lre_tr_1000_en_500_3/exp/results/classification_30s,0.518,0.647,0.688,0.633,0.471,0.443
lre_tr_1000_en_1000_3,1000,1000,3,/home/paul/gp-data/lre_tr_1000_en_1000_3/exp/results/classification_3s,/home/paul/gp-data/lre_tr_1000_en_1000_3/exp/results/classification_10s,/home/paul/gp-data/lre_tr_1000_en_1000_3/exp/results/classification_30s,0.51,0.642,0.682,0.642,0.476,0.449
lre_tr_1000_en_5000_3,1000,5000,3,/home/paul/gp-data/lre_tr_1000_en_5000_3/exp/results/classification_3s,/home/paul/gp-data/lre_tr_1000_en_5000_3/exp/results/classification_10s,/home/paul/gp-data/lre_tr_1000_en_5000_3/exp/results/classification_30s,0.519,0.659,0.699,0.63,0.458,0.427
lre_tr_1000_en_10000_3,1000,10000,3,/home/paul/gp-data/lre_tr_1000_en_10000_3/exp/results/classification_3s,/home/paul/gp-data/lre_tr_1000_en_10000_3/exp/results/classification_10s,/home/paul/gp-data/lre_tr_1000_en_10000_3/exp/results/classification_30s,0.529,0.665,0.705,0.617,0.449,0.421
lre_tr_5000_en_500_3,5000,500,3,/home/paul/gp-data/lre_tr_5000_en_500_3/exp/results/classification_3s,/home/paul/gp-data/lre_tr_5000_en_500_3/exp/results/classification_10s,/home/paul/gp-data/lre_tr_5000_en_500_3/exp/results/classification_30s,0.655,0.779,0.806,0.454,0.299,0.277
lre_tr_5000_en_1000_3,5000,1000,3,/home/paul/gp-data/lre_tr_5000_en_1000_3/exp/results/classification_3s,/home/paul/gp-data/lre_tr_5000_en_1000_3/exp/results/classification_10s,/home/paul/gp-data/lre_tr_5000_en_1000_3/exp/results/classification_30s,0.664,0.794,0.817,0.443,0.28,0.263
lre_tr_5000_en_5000_3,5000,5000,3,/home/paul/gp-data/lre_tr_5000_en_5000_3/exp/results/classification_3s,/home/paul/gp-data/lre_tr_5000_en_5000_3/exp/results/classification_10s,/home/paul/gp-data/lre_tr_5000_en_5000_3/exp/results/classification_30s,0.667,0.797,0.822,0.438,0.277,0.26
lre_tr_5000_en_10000_3,5000,10000,3,/home/paul/gp-data/lre_tr_5000_en_10000_3/exp/results/classification_3s,/home/paul/gp-data/lre_tr_5000_en_10000_3/exp/results/classification_10s,/home/paul/gp-data/lre_tr_5000_en_10000_3/exp/results/classification_30s,0.67,0.8,0.826,0.436,0.273,0.255
lre_tr_10000_en_500_3,10000,500,3,/home/paul/gp-data/lre_tr_10000_en_500_3/exp/results/classification_3s,/home/paul/gp-data/lre_tr_10000_en_500_3/exp/results/classification_10s,/home/paul/gp-data/lre_tr_10000_en_500_3/exp/results/classification_30s,0.687,0.808,0.831,0.415,0.264,0.248
lre_tr_10000_en_1000_3,10000,1000,3,/home/paul/gp-data/lre_tr_10000_en_1000_3/exp/results/classification_3s,/home/paul/gp-data/lre_tr_10000_en_1000_3/exp/results/classification_10s,/home/paul/gp-data/lre_tr_10000_en_1000_3/exp/results/classification_30s,0.688,0.811,0.839,0.416,0.264,0.243
lre_tr_10000_en_5000_3,10000,5000,3,/home/paul/gp-data/lre_tr_10000_en_5000_3/exp/results/classification_3s,/home/paul/gp-data/lre_tr_10000_en_5000_3/exp/results/classification_10s,/home/paul/gp-data/lre_tr_10000_en_5000_3/exp/results/classification_30s,0.699,0.82,0.845,0.4,0.248,0.23
lre_tr_10000_en_10000_3,10000,10000,3,/home/paul/gp-data/lre_tr_10000_en_10000_3/exp/results/classification_3s,/home/paul/gp-data/lre_tr_10000_en_10000_3/exp/results/classification_10s,/home/paul/gp-data/lre_tr_10000_en_10000_3/exp/results/classification_30s,0.699,0.822,0.846,0.401,0.248,0.231
lre_baseline_3,all,all,3,blank,blank,/home/paul/gp-data/lre_baseline_3/exp/results/classification_30s,blank,blank,0.873,blank,blank,0.189
